academic_year,semester,faculty,programme,previous_gpa,attendance_percentage,study_hours_per_week,failed_modules,assignment_completion_percentage,assessment_average_percentage,lecture_participation_percentage,tutorial_participation,lms_active,internet_access,financial_work_pressure,wellbeing_rating,semester_gpa
3,2,Science,Applied Science,2.43,76.2,10,0,74.9,71.5,70.5,yes,no,yes,no,3,2.21
1,1,Management,Business Management,2.83,90.0,10,0,66.5,72.7,100.0,yes,no,yes,no,4,2.24
4,1,Management,Business Management,2.75,78.9,5,0,73.5,51.5,72.7,yes,yes,yes,yes,5,2.95
1,1,Computing,Information Technology,2.48,67.2,2,0,72.7,59.8,70.8,no,no,yes,no,3,1.25
3,2,Management,Accounting,2.25,71.9,12,0,67.7,84.9,53.5,yes,yes,yes,no,2,2.26
1,1,Computing,Information Technology,2.3,72.4,12,0,74.3,66.0,50.4,yes,no,no,no,3,1.15
3,2,Engineering,Engineering,1.86,89.9,15,0,68.1,95.0,65.7,yes,no,yes,no,3,2.04
2,1,Computing,Computer Science,2.23,78.3,10,0,84.7,82.1,69.5,yes,yes,yes,no,3,1.92
1,1,Humanities,Languages,2.87,87.7,6,1,76.5,95.0,88.3,yes,yes,yes,no,3,2.34
4,1,Humanities,Languages,1.67,94.9,11,1,72.8,95.0,89.1,yes,yes,limited,no,4,2.03
2,1,Management,Accounting,3.06,97.7,18,1,82.4,81.1,80.2,yes,yes,yes,no,5,2.48
1,1,Humanities,Languages,3.01,80.0,13,0,88.4,85.4,70.7,yes,yes,yes,no,3,2.18
3,1,Management,Business Management,2.19,77.1,6,0,65.9,86.8,69.1,yes,yes,yes,no,4,1.78
4,2,Management,Accounting,2.2,86.2,10,0,84.3,81.1,89.4,yes,yes,limited,no,4,3.06
4,1,Engineering,Engineering,1.64,69.0,13,0,72.9,67.1,71.6,no,yes,yes,no,4,1.79
1,2,Engineering,Engineering,2.79,100.0,12,0,80.9,86.6,93.2,no,yes,yes,no,1,2.77
2,2,Computing,Computer Science,2.85,82.6,16,0,95.9,93.8,88.0,yes,no,yes,no,3,3.21
3,2,Science,Applied Science,2.51,74.7,14,0,59.4,81.6,67.8,no,yes,no,no,4,2.09
3,2,Computing,Computer Science,2.77,92.6,17,1,90.3,79.5,67.0,yes,yes,yes,no,2,2.47
3,2,Management,Business Management,2.95,91.1,14,0,92.8,90.8,76.7,no,yes,yes,no,4,3.65
1,1,Engineering,Engineering,2.87,76.5,14,0,78.7,95.0,83.2,no,yes,no,no,3,2.36
2,1,Computing,Computer Science,2.55,92.0,11,0,69.8,94.5,77.8,yes,yes,limited,yes,3,2.68
2,1,Humanities,Languages,2.96,100.0,11,0,98.5,64.3,96.1,yes,yes,limited,no,2,3.55
3,2,Humanities,Social Sciences,3.38,84.8,9,0,84.0,73.1,63.8,yes,no,yes,no,3,2.78
3,1,Humanities,Social Sciences,2.74,90.0,17,1,81.5,76.2,78.9,yes,yes,yes,no,4,2.62
1,1,Humanities,Social Sciences,2.88,85.7,11,1,100.0,95.0,90.6,no,yes,yes,no,4,2.92
4,2,Management,Business Management,2.7,60.6,7,1,72.4,80.7,66.2,yes,yes,yes,no,1,2.21
3,1,Science,Biological Science,3.03,96.4,18,0,87.4,95.0,97.9,yes,yes,yes,no,5,4.0
4,2,Engineering,Engineering,2.18,91.0,17,0,100.0,90.6,88.4,no,yes,yes,no,3,3.0
3,2,Management,Business Management,2.62,83.0,8,0,83.0,73.0,95.6,no,yes,no,no,3,2.22
3,2,Science,Applied Science,2.77,81.0,19,1,82.7,95.0,67.9,yes,yes,yes,yes,4,2.43
1,1,Engineering,Engineering,2.48,89.3,21,0,93.6,85.1,72.8,no,yes,yes,no,4,3.48
2,1,Humanities,Social Sciences,2.82,79.5,8,0,58.1,72.2,89.9,no,yes,yes,no,3,2.06
3,1,Science,Biological Science,2.55,74.9,8,1,100.0,84.0,41.3,yes,yes,yes,no,3,2.43
2,1,Science,Biological Science,4.0,71.7,9,0,79.7,77.3,68.1,no,no,yes,no,4,2.21
3,1,Engineering,Engineering,3.07,94.9,19,0,95.3,88.2,90.2,yes,yes,yes,no,1,3.06
4,2,Computing,Computer Science,2.91,82.8,2,0,54.2,79.8,60.2,yes,yes,yes,no,3,1.58
1,2,Humanities,Languages,1.35,75.5,10,0,85.4,67.4,68.9,no,yes,yes,no,5,2.22
2,2,Management,Accounting,1.84,77.1,11,1,87.2,66.9,80.8,no,no,yes,no,3,1.76
2,1,Humanities,Languages,2.63,68.8,7,0,69.9,67.7,48.6,yes,yes,limited,no,4,1.91
3,2,Science,Applied Science,3.23,64.9,11,0,90.5,80.1,57.9,yes,yes,limited,no,4,2.17
3,1,Computing,Information Technology,2.91,70.8,8,0,60.3,81.2,47.8,no,no,yes,no,2,2.04
1,1,Computing,Information Technology,1.97,69.6,16,0,63.1,80.0,52.4,no,yes,yes,no,4,2.07
4,2,Humanities,Social Sciences,2.96,83.8,5,1,69.3,74.7,81.4,yes,yes,yes,no,5,2.13
1,2,Humanities,Social Sciences,2.75,78.2,24,0,100.0,95.0,65.1,no,no,yes,no,4,3.32
4,2,Management,Business Management,2.28,83.1,13,0,71.9,86.3,74.3,yes,yes,yes,no,5,3.04
4,1,Science,Biological Science,1.76,77.5,13,1,94.1,67.6,91.8,yes,yes,yes,yes,4,2.31
2,1,Management,Business Management,3.16,91.7,12,0,79.5,68.4,74.1,yes,yes,yes,no,4,2.7
1,1,Humanities,Languages,2.9,93.7,19,0,75.5,92.1,93.1,no,no,yes,no,3,2.55
4,1,Engineering,Engineering,1.15,83.1,14,2,97.9,62.6,69.9,yes,yes,yes,no,3,1.88
3,1,Management,Accounting,2.73,75.9,15,0,93.5,88.8,34.0,no,yes,limited,no,5,2.8
4,2,Humanities,Languages,2.87,82.9,5,0,76.9,69.9,48.6,no,yes,yes,no,4,2.03
2,1,Engineering,Engineering,1.84,97.9,14,0,83.8,87.8,100.0,yes,yes,yes,no,5,2.71
3,2,Management,Accounting,3.21,100.0,17,0,89.9,95.0,93.6,yes,yes,limited,no,4,3.28
2,1,Science,Applied Science,3.47,75.3,8,0,65.0,95.0,77.4,yes,yes,yes,no,3,2.03
1,2,Management,Accounting,1.54,70.5,8,1,62.9,73.5,51.1,yes,yes,no,yes,5,0.25
3,2,Engineering,Engineering,2.5,73.5,11,0,83.5,79.0,57.2,yes,yes,yes,no,1,2.7
1,2,Science,Applied Science,1.62,71.4,8,0,83.8,62.3,96.6,no,yes,yes,yes,4,2.18
3,2,Humanities,Social Sciences,2.8,84.4,14,1,95.6,75.9,66.3,yes,yes,yes,no,4,3.11
3,1,Management,Business Management,3.17,75.9,11,0,84.7,79.6,69.5,yes,yes,yes,no,4,2.68
4,2,Computing,Information Technology,3.01,89.8,13,0,80.3,78.9,91.4,yes,yes,yes,no,4,2.82
2,1,Management,Business Management,1.13,84.1,13,0,83.9,65.4,82.1,yes,yes,yes,no,3,2.46
3,1,Engineering,Engineering,2.55,74.8,2,0,78.8,84.8,69.2,yes,no,yes,no,4,2.03
1,2,Humanities,Social Sciences,2.9,62.6,6,0,80.1,64.7,79.0,yes,yes,yes,no,3,1.75
1,2,Management,Accounting,2.97,97.1,20,0,100.0,75.8,100.0,yes,yes,yes,no,4,3.19
2,1,Engineering,Engineering,2.61,79.0,5,0,87.2,67.9,77.8,yes,no,yes,no,3,2.23
4,1,Science,Biological Science,2.61,86.0,2,1,72.2,85.8,75.7,yes,no,yes,no,3,1.83
4,1,Computing,Computer Science,2.28,79.3,21,1,91.9,87.4,73.8,yes,yes,limited,yes,4,2.62
2,2,Science,Biological Science,3.0,78.8,19,0,88.1,90.3,89.2,no,yes,yes,no,3,2.16
1,1,Engineering,Engineering,2.94,92.1,6,0,62.0,63.8,73.4,yes,yes,yes,no,2,2.11
2,2,Computing,Information Technology,2.35,68.1,22,0,80.4,81.4,56.7,yes,yes,yes,no,4,2.4
1,2,Management,Business Management,2.85,100.0,10,0,82.2,68.3,80.6,yes,yes,yes,no,4,2.19
4,2,Engineering,Engineering,2.82,78.0,8,0,79.7,95.0,71.0,yes,yes,yes,no,4,2.95
4,1,Management,Business Management,2.93,95.8,15,1,88.3,89.6,93.0,yes,yes,yes,no,2,3.54
1,1,Engineering,Engineering,3.17,71.7,13,1,83.9,93.5,78.3,yes,yes,no,no,4,2.32
1,2,Humanities,Social Sciences,3.13,95.2,19,0,100.0,95.0,85.6,yes,yes,yes,yes,3,3.05
1,1,Management,Business Management,3.63,79.2,8,0,81.3,90.4,84.3,yes,no,yes,no,2,3.12
2,2,Computing,Information Technology,2.18,74.2,15,0,90.6,75.9,61.4,no,yes,yes,no,3,2.45
2,2,Management,Business Management,2.2,74.2,2,0,74.7,85.1,60.7,yes,no,yes,yes,3,2.21
3,1,Management,Accounting,1.84,89.4,9,2,83.6,86.5,80.3,yes,yes,yes,no,4,2.23
1,2,Management,Business Management,2.66,62.9,4,1,80.4,62.6,40.9,yes,yes,limited,no,4,2.28
2,2,Management,Business Management,2.03,79.9,17,1,89.1,79.8,84.8,yes,yes,yes,no,4,1.57
2,1,Engineering,Engineering,1.82,64.3,8,0,67.1,77.2,37.6,yes,yes,yes,no,4,0.95
3,1,Science,Biological Science,3.25,84.4,14,0,86.4,91.4,76.1,no,yes,limited,yes,4,2.73
3,1,Computing,Information Technology,2.9,61.4,13,0,99.1,81.7,55.8,no,yes,yes,yes,3,3.27
4,1,Engineering,Engineering,2.6,74.1,7,0,84.0,95.0,57.4,no,no,yes,no,3,2.14
1,2,Science,Applied Science,3.99,92.3,10,0,67.7,85.4,100.0,yes,yes,yes,no,5,3.17
2,2,Engineering,Engineering,2.6,79.5,11,0,100.0,89.8,84.1,yes,yes,yes,no,4,2.65
3,2,Engineering,Engineering,3.02,96.0,9,0,81.7,86.4,79.7,yes,yes,yes,yes,4,2.73
3,1,Engineering,Engineering,1.03,81.1,14,0,98.9,49.3,77.4,no,no,limited,no,4,2.61
1,2,Humanities,Social Sciences,2.23,90.9,18,2,66.6,84.0,68.2,yes,yes,yes,no,5,2.66
4,2,Management,Accounting,2.39,82.3,15,1,85.2,95.0,94.1,yes,yes,no,no,3,1.8
1,1,Engineering,Engineering,2.69,88.7,13,0,72.0,86.5,89.9,yes,yes,yes,no,2,2.66
1,1,Engineering,Engineering,2.06,77.8,13,0,64.7,76.2,55.1,yes,yes,yes,no,4,1.68
1,2,Computing,Computer Science,2.13,75.8,14,1,93.2,91.6,47.0,no,yes,yes,no,5,2.87
4,2,Engineering,Engineering,2.18,67.7,16,0,81.5,79.7,52.1,no,no,yes,no,4,2.41
2,2,Computing,Computer Science,3.38,100.0,12,0,72.5,90.2,100.0,yes,yes,limited,yes,3,3.52
4,2,Computing,Information Technology,2.99,91.9,14,1,84.7,71.0,62.9,yes,yes,yes,yes,4,2.74
1,1,Engineering,Engineering,2.33,77.5,12,1,87.6,69.0,83.4,yes,yes,yes,no,1,2.2
1,2,Science,Biological Science,3.97,83.8,7,0,93.0,84.5,78.3,no,no,yes,no,3,3.12
1,1,Humanities,Languages,3.33,79.1,12,0,71.2,78.5,80.0,no,yes,no,no,4,2.41
3,2,Humanities,Languages,2.07,72.9,4,0,90.5,95.0,58.1,yes,yes,yes,no,2,2.48
2,2,Computing,Computer Science,2.89,92.2,15,0,89.8,91.4,88.6,no,yes,yes,yes,3,2.18
4,2,Computing,Computer Science,2.27,92.5,13,0,94.9,57.9,86.8,yes,yes,yes,no,3,2.31
3,1,Computing,Information Technology,2.8,99.3,9,1,82.2,82.4,86.8,no,yes,yes,no,4,2.48
2,1,Science,Applied Science,2.21,77.6,18,0,100.0,95.0,57.6,yes,yes,yes,no,4,2.73
